Mes,Lluvia Max,Lluvia total ,Evaporacion mensual,Temperatura Max Promedio,Temperatura Max Extrema,Temperatura Min Promedio,Temperatura Min Extrema,Temperatura Media Mensual
ene-2020,9.8,9.82,87.91,20.4,23.5,2.5,-1,11.4
feb-2020,8.3,8.3,112.06,23.1,26.5,4.8,1.5,14
marzo 2020,3.9,11.4,155.87,25.3,28.5,6.4,3.5,15.9
abril 2020,15.9,37,193,26.4,28,7.9,5.5,17.1
may-2020,3.5,12.5,177.61,25.9,27.5,7.3,5,16.6
jun-2020,24.4,159.42,112.04,23.1,28.5,10.2,7,16.6
jul-2020,46.7,221.6,132.6,23.1,25,10.3,7,16.7
ago-2020,30.6,211.33,101.12,21.9,24,10.1,8.5,16
sep-2020,26.9,207.05,79.18,21.2,24.5,9.6,7,15.4
oct-2020,14.1,82.52,101.62,22.5,24,6,2.5,14.2
nov-2020,11.2,17.52,91.26,22.6,24.5,5.2,1.5,13.9
dic-2020,12.3,16.93,73.39,20.7,22.5,4.4,0,12.6
ene-2021,0.3,0.32,135.74,21.5,25,3.8,-2.5,12.7
feb-2021,0.4,0.4,128.64,22.8,25.5,2.3,-5,12.6
mar-2021,3.9,11.31,157.74,25.3,28.5,6.4,3.5,15.9
abr-2021,15.9,35.2,186.79,26.5,28,7.8,5.5,17.1
may-2021,2.1,5.6,164.36,25.5,27.5,5.3,1,15.4
jun-2021,28.2,242.5,75.29,20.8,24,10.3,8,15.6
jul-2021,42.1,155.3,116.36,22.4,24.5,8.9,5.5,15.6
ago-2021,18.2,130.2,98.15,21.7,24,9.9,7,15.8
sep-2021,32.3,241,71.54,22,25,9.5,6.5,15.8
oct-2021,14.3,80.4,65.02,22.6,25.5,8.5,6.5,15.6
nov-2021,1.4,5.5,79.05,22.7,24,4.2,1,13.4
dic-2021,11.9,12.1,78.24,22.5,24.5,2.8,0,12.7
ene-2022,11.1,34.8,90.02,20.6,23,3.1,1,11.9
feb-2022,0,0,101.08,22.2,25.5,2.8,-1,12.5
mar-2022,0,0,171.82,24.4,26,3.7,1.5,14
abr-2022,3.3,9.8,181.51,26.2,29,6.5,3.5,16.4
may-2022,18.4,62.61,178.58,26.3,29,7.9,6,17.1
jun-2022,21.1,183.8,110.3,21.9,24,9.9,7,15.9
jul-2022,26.3,131.62,112.99,22.6,25.5,10.2,8,16.4
ago-2022,21.9,191.51,108.72,22,23.5,9.3,6,15.7
sep-2022,37.2,278.61,73.35,21,23.5,10.1,7,15.6
oct-2022,13.3,60.92,93.95,22.5,24.5,8.9,5.5,15.7
nov-2022,4.6,20.8,81.93,22.4,24,6.3,4,14.3
dic-2022,3.3,5.21,80.12,20,22.5,3.1,-1,11.6
ene-2023,0.8,0.8,80.12,20.9,23,2.9,1,11.9
feb-2023,0,0,96.87,22.2,25,3.6,1,12.9
mar-2023,3.5,6.4,159.5,24.1,26,5.5,1.5,14.8
abr-2023,26.9,42.31,159.69,24.6,27,6.7,4,15.7
may-2023,34.4,115.1,166.17,25,28,8.7,5,16.9
jun-2023,12.1,38.2,150.42,25.4,28,10.3,7.5,17.9
jul-2023,33.8,179.9,133.16,22.3,25.5,11.2,8,16.8
ago-2023,48.5,187.53,94.94,21.5,25,10.5,7.5,16
sep-2023,18.3,69.48,88.94,22.1,24,10.1,6,16.1
oct-2023,65.4,176.42,86.7,21.2,24,9.9,7,15.6
nov-2023,70.3,121.11,83.7,21.2,24,7.6,4,14.4
dic-2023,6.3,8.41,70.91,18.9,22,5.3,-2,12.1
ene-2024,1.3,1.9,80.66,20.3,23,4.1,0,12.2
feb-2024,28.5,32.3,99.69,22.5,25.5,4.1,0,13.3
mar-2024,0,0,165.87,25,27,4.5,0,14.8
abr-2024,0,0,173.91,26.3,28.5,7.4,5,16.9
may-2024,21.7,33.22,195.16,28.4,31,10.4,7,19.4
jun-2024,70.9,223.52,127.33,24.4,29.5,11.3,7,17.9
jul-2024,34.9,281.74,116.34,21.1,23,11.2,9,16.1
ago-2024,98.6,258.62,106.95,21.8,23,11.2,9,16.5
sep-2024,42.4,262.81,75.84,20.9,23.5,11.7,10,16.3
oct-2024,17.9,68.61,81.68,21.1,23,8.3,3.5,14.7
nov-2024,4.4,10.4,92.93,21.8,23.5,5.5,0.5,13.7
dic-2024,10.7,10.7,74.42,20.5,23.5,3.4,1,11.9
ene-2025,33.9,64.3,68.86,20.3,23.5,4.4,1.5,12.4
feb-2025,9.5,21.12,96.69,22.7,26.5,6.7,3.5,14.7
mar-2025,0,0,151.57,24.7,26,5.4,2,15.1
abr-2025,1.3,1.3,179.7,25.6,27.5,5,1.5,15.3
may-2025,21.9,83.32,135.02,25.7,28.5,10,6.5,17.9
jun-2025,76.7,315.4,99.83,20.7,24.5,11.8,8.5,16.2
jul-2025,25.1,84.4,139.84,21.5,24.5,9.7,7,15.6
ago-2025,31.2,163.8,134.46,21.7,23,10.4,6,16
sep-2025,20.4,156.32,115.64,21.4,23.5,10.7,8,16
oct-2025,18,88.72,76.25,21.3,23,8.7,4.5,15
nov-2025,6.6,9.9,86.27,21.2,23,5.3,3,13.2
dic-2025,6.6,10.71,38.16,20.4,22,5.9,3.5,13.1
